ensembl_id,gene_symbol,entrez_id,log2FoldChange,pvalue,padj,sig
ENSG00000140030,GPR65,8477,2.995198422,3.46e-23,5.6e-19,Up
ENSG00000164691,TAGAP,117289,3.493528014,1.34e-22,1.25e-18,Up
ENSG00000265612,MIR4539,100616374,5.555717138,2.17e-22,1.37e-18,Up
ENSG00000172724,CCL19,6363,3.960558803,2.44e-22,1.37e-18,Up
ENSG00000110324,IL10RA,3587,2.998287093,4.35e-22,2.03e-18,Up
ENSG00000042980,ADAM28,10863,3.442745747,8.77e-22,3.51e-18,Up
ENSG00000118503,TNFAIP3,7128,2.263253009,1.5e-21,4.67e-18,Up
ENSG00000171700,RGS19,10287,1.845630857,1.46e-21,4.67e-18,Up
ENSG00000138964,PARVG,64098,3.491625385,2.11e-21,5.9e-18,Up
ENSG00000185862,EVI2B,2124,3.53402479,5.170000000000001e-21,1.21e-17,Up
ENSG00000170006,TMEM154,201799,3.451010392,5.980000000000001e-21,1.29e-17,Up
ENSG00000185905,C16orf54,283897,3.723833712,6.820000000000001e-21,1.37e-17,Up
ENSG00000123329,ARHGAP9,64333,3.848702793,7.550000000000001e-21,1.41e-17,Up
ENSG00000135905,DOCK10,55619,3.041630159,8.71e-21,1.53e-17,Up
ENSG00000020633,RUNX3,864,3.366392437,1.52e-20,2.5e-17,Up
ENSG00000120280,CXorf21,80231,3.131019295,1.94e-20,2.58e-17,Up
ENSG00000147168,IL2RG,3561,3.407485207,1.89e-20,2.58e-17,Up
ENSG00000126860,EVI2A,2123,2.667756847,1.94e-20,2.58e-17,Up
ENSG00000116852,KIF21B,23046,3.552543581,1.78e-20,2.58e-17,Up
ENSG00000137265,IRF4,3662,4.539269409,2.2e-20,2.81e-17,Up
ENSG00000078589,P2RY10,27334,4.319190057,3.22e-20,3.92e-17,Up
ENSG00000188042,ARL4C,10123,2.065306317,3.4e-20,3.97e-17,Up
ENSG00000276231,PIK3R6,146850,3.23186199,4.3e-20,4.13e-17,Up
ENSG00000141293,SKAP1,8631,3.047391236,4.32e-20,4.13e-17,Up
ENSG00000206337,HCP5,10866,2.431706526,4.02e-20,4.13e-17,Up
ENSG00000110934,BIN2,51411,3.208157666,4.42e-20,4.13e-17,Up
ENSG00000184922,FMNL1,752,2.516947586,4.01e-20,4.13e-17,Up
ENSG00000147443,DOK2,9046,2.348298623,4.92e-20,4.41e-17,Up
ENSG00000134594,RAB33A,9363,3.712926952,5.03e-20,4.41e-17,Up
ENSG00000133805,AMPD3,272,1.515015021,5.76e-20,4.75e-17,Up
ENSG00000169442,CD52,1043,3.5486793,5.74e-20,4.75e-17,Up
ENSG00000204287,HLA-DRA,3122,2.681209371,6.35e-20,5.09e-17,Up
ENSG00000131323,TRAF3,7187,1.036434618,6.67e-20,5.19e-17,Up
ENSG00000197629,MPEG1,219972,2.834897942,7e-20,5.3e-17,Up
ENSG00000163519,TRAT1,50852,4.211971518,7.31e-20,5.39e-17,Up
ENSG00000237484,LINC01684,105372751,3.245517085,8.08e-20,5.81e-17,Up
ENSG00000076662,ICAM3,3385,3.820050949,8.64e-20,5.91e-17,Up
ENSG00000126882,FAM78A,286336,3.127573554,8.54e-20,5.91e-17,Up
ENSG00000137841,PLCB2,5330,3.00120658,1.19e-19,7.74e-17,Up
ENSG00000186517,ARHGAP30,257106,3.273641199,1.22e-19,7.74e-17,Up
ENSG00000155307,"c(""SAMSN1"", ""LOC388813"")","c(""64092"", ""388813"")",3.710841055,1.34e-19,7.98e-17,Up
ENSG00000134242,PTPN22,26191,3.506667449,1.39e-19,7.98e-17,Up
ENSG00000204475,NCR3,259197,4.215926498,1.31e-19,7.98e-17,Up
ENSG00000175857,GAPT,202309,3.862927075,1.39e-19,7.98e-17,Up
ENSG00000174125,TLR1,7096,2.80320385,1.39e-19,7.98e-17,Up
ENSG00000123338,NCKAP1L,3071,3.636065555,1.59e-19,8.75e-17,Up
ENSG00000101445,PPP1R16B,26051,2.142939204,1.66e-19,8.94e-17,Up
ENSG00000077984,CST7,8530,2.853232331,1.72e-19,9.07e-17,Up
ENSG00000100055,CYTH4,27128,3.237833466,1.87e-19,9.67e-17,Up
ENSG00000163600,ICOS,29851,4.026502362,1.9e-19,9.67e-17,Up
ENSG00000151651,ADAM8,101,1.867319357,1.98e-19,9.89e-17,Up
ENSG00000213654,GPSM3,63940,2.95980075,2.17e-19,1.04e-16,Up
ENSG00000196664,TLR7,51284,3.126851756,2.25e-19,1.04e-16,Up
