Rank,ZINC ID,Clean Score (kcal/mol),Atoms,RotBonds,Dist to Epitope (Å),Core Hotspot Hits,Core Residues Hit,Rβ1 Interface Hits,Correct Epitope Frac,Composite Score,Verdict
1,ZINC52448673,-10.43,75,3,7.3,6/8,"[15, 17, 19, 58, 59, 60]",13/17,100.0%,40.43,STRONG HIT
2,ZINC55760081,-7.754,50,6,10.5,6/8,"[15, 17, 19, 58, 59, 60]",11/17,73.3%,34.42,STRONG HIT
3,ZINC53075763,-8.264,52,4,11.5,2/8,"[15, 60]",9/17,64.3%,24.48,MODERATE HIT
4,ZINC52672394,-7.486,57,6,10.1,2/8,"[15, 60]",8/17,90.0%,23.99,MODERATE HIT
5,ZINC46285544,-8.985,48,3,10.7,1/8,[60],5/17,70.0%,19.48,WEAK HIT
6,ZINC54140074,-8.519,47,5,9.4,1/8,[60],5/17,77.8%,19.41,WEAK HIT
7,ZINC49219928,-10.18,72,4,11.1,1/8,[60],5/17,44.4%,19.4,WEAK HIT
8,ZINC47809369,-8.649,45,4,9.4,1/8,[60],5/17,66.7%,18.98,WEAK HIT
9,ZINC52004842,-8.245,57,3,10.4,2/8,"[45, 60]",2/17,92.9%,18.89,MODERATE HIT
10,ZINC51497019,-8.673,56,4,12.1,1/8,[60],5/17,46.2%,17.98,WEAK HIT
