rank,gene,ensembl_id,sm_tractable,ab_tractable,has_approved_drug,max_clinical_stage,n_drugs,n_associated_diseases,top_disease,ht_direct_association,ht_score,approved_drugs,log2FC,padj,abs_lfc,pathway_centrality,score_lfc,score_centrality,score_druggability,score_disease,score_safety,composite_score
1,IFNG,ENSG00000111537,True,True,True,4,3,2764,hemophagocytic lymphohistiocytosis,True,0.434,EMAPALUMAB,3.222472371,2.04e-10,3.222472371,280,0.644,0.632,1.0,0.9339999999999999,1.0,0.8269
2,IL12B,ENSG00000113302,True,True,True,4,8,477,psoriasis,True,0.204,USTEKINUMAB; GUSELKUMAB,3.070216968,3.37e-09,3.070216968,329,0.614,0.743,1.0,0.704,1.0,0.8142
3,TNF,ENSG00000232810,True,True,True,4,14,4041,psoriatic arthritis,False,0.0,ETANERCEPT; INFLIXIMAB; ADALIMUMAB,2.525446248,4.26e-12,2.525446248,443,0.505,1.0,1.0,0.2,1.0,0.781
4,BTK,ENSG00000010671,True,True,True,4,24,1160,X-linked agammaglobulinemia,False,0.0,IBRUTINIB; ACALABRUTINIB; ZANUBRUTINIB; RILZABRUTINIB,4.388812923,3.75e-14,4.388812923,263,0.878,0.594,1.0,0.2,1.0,0.7541
5,JAK3,ENSG00000105639,True,True,True,4,19,1013,SCID,False,0.0,RITLECITINIB; TOFACITINIB,3.866755948,6.66e-16,3.866755948,200,0.773,0.451,1.0,0.2,1.0,0.6974
6,IL1B,ENSG00000125538,True,True,True,4,5,2616,cryopyrin-associated periodic syndrome,False,0.0,CANAKINUMAB; ANAKINRA,2.485451535,2.3e-07,2.485451535,296,0.497,0.668,1.0,0.2,1.0,0.6964
7,CD80,ENSG00000114013,False,True,True,4,3,862,rheumatoid arthritis,False,0.0,ABATACEPT,2.49460863,1.27e-09,2.49460863,191,0.499,0.431,1.0,0.5,1.0,0.6825
8,TGFB1,ENSG00000105329,True,True,True,4,5,3124,Camurati-Engelmann disease,False,0.0,FRESOLIMUMAB,1.296077711,3.51e-07,1.296077711,428,0.259,0.966,1.0,0.2,0.5,0.6733
9,IL12A,ENSG00000168811,False,True,True,4,3,472,psoriasis,False,0.0,USTEKINUMAB,1.949066309,2.84e-08,1.949066309,204,0.39,0.46,1.0,0.5,1.0,0.668
10,CD74,ENSG00000019582,True,True,True,4,2,967,non-small cell lung carcinoma,False,0.0,MILATUZUMAB,2.206572731,2.9e-15,2.206572731,313,0.441,0.707,1.0,0.2,0.5,0.645
11,IL4R,ENSG00000077238,False,True,True,4,2,735,asthma,False,0.0,DUPILUMAB,1.634244734,1.62e-10,1.634244734,225,0.327,0.508,1.0,0.2,1.0,0.6224
12,JAK2,ENSG00000096968,True,True,True,4,31,1510,polycythemia vera,False,0.0,RUXOLITINIB; FEDRATINIB; PACRITINIB,1.408523959,1.21e-12,1.408523959,238,0.282,0.537,1.0,0.2,1.0,0.6206
13,LYN,ENSG00000254087,True,True,True,4,9,949,autoinflammatory disease,False,0.0,DASATINIB,1.440776023,1.43e-12,1.440776023,318,0.288,0.718,1.0,0.2,0.5,0.6171
14,HAVCR2,ENSG00000135077,True,True,True,4,3,748,T-cell lymphoma,False,0.0,COBOLIMAB,2.703827225,3.21e-11,2.703827225,218,0.541,0.492,1.0,0.2,0.5,0.6112
15,PTPRC,ENSG00000081237,True,True,False,2,1,1661,immunodeficiency 104,False,0.0,,4.163884788,1.02e-15,4.163884788,362,0.833,0.817,0.5,0.2,0.4,0.5908
16,FCGR2B,ENSG00000072694,True,True,False,3,1,1058,systemic lupus erythematosus,False,0.0,,2.748516244,5.55e-15,2.748516244,275,0.55,0.621,0.7,0.5,0.4,0.5902
17,IL21,ENSG00000138684,True,True,False,2,1,852,inflammatory bowel disease,False,0.0,,6.961221336,1.33e-06,6.961221336,193,1.0,0.436,0.5,0.5,0.4,0.574
18,CCR2,ENSG00000121807,True,True,False,3,10,1248,cystic disease of lung,False,0.0,,2.907023122,3.11e-12,2.907023122,264,0.581,0.596,0.7,0.2,0.4,0.5452
19,TNFSF4,ENSG00000117586,False,True,False,3,2,425,systemic lupus erythematosus,False,0.0,,1.33407071,2.1e-11,1.33407071,278,0.267,0.628,0.7,0.5,0.4,0.5354
20,IL18,ENSG00000150782,False,True,False,3,3,1564,adult-onset Still's disease,False,0.0,,2.231302399,8.47e-12,2.231302399,271,0.446,0.612,0.7,0.2,0.4,0.5222
21,CD28,ENSG00000178562,True,True,False,2,2,1051,HIV infection,False,0.0,,4.380782477,1.08e-13,4.380782477,223,0.876,0.503,0.5,0.2,0.4,0.521
