"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",190,0.809589878818362,2.1589555465111,1e-10,2.67051282051282e-09,1.90148448043185e-09,1787,"tags=58%, list=9%, signal=53%","GPR65/CCL19/IL2RG/IRF4/HLA-DRA/TRAT1/TLR1/HCLS1/LCK/HLA-DOA/CD3D/TLR6/CD2/CD79A/PTPRC/HLA-DMA/FYB1/CD3E/CD3G/WAS/SIT1/NCF4/CD74/ITGAL/LCP2/LY86/PTPN6/ZAP70/FCGR2B/IL27RA/CD86/SRGN/PRKCB/STAT4/CD4/IL2RB/IL12RB1/CD96/IL16/ITGB2/CD7/SPI1/CD247/IRF8/HLA-DMB/CD28/IL2RA/CXCL13/ETS1/HLA-DOB/CRTAM/HDAC9/MAP4K1/LTB/CXCR3/CCR5/IL7/CTSS/JAK2/LYN/GZMA/CSK/CCR2/CD8B/TNF/CD40LG/ITK/TAP2/ELF4/IL18/IL10/ACHE/PRF1/CD1D/HLA-E/MMP9/FGR/IGSF6/CD40/PSMB10/ST8SIA4/IL4R/IFNG/NCR1/TAP1/CD8A/IFNAR2/CCL4/CD80/GBP2/IL18RAP/CCR1/B2M/IL12B/FASLG/ABI1/CCL22/TLR2/CCL5/IL12A/SOCS1/RIPK2/STAT1/TAPBP/IFNGR1/IL1B/GZMB/CXCL9/C2/TGFB1/FAS"
"GOBP_POSITIVE_T_CELL_SELECTION","GOBP_POSITIVE_T_CELL_SELECTION",49,0.855737361148179,2.11943389011033,1e-10,2.67051282051282e-09,1.90148448043185e-09,1798,"tags=65%, list=9%, signal=59%","IRF4/CD3D/JAK3/SPN/PTPRC/CD3E/CD3G/CD74/DOCK2/ZAP70/THEMIS/CD69/LY9/IL12RB1/SLAMF6/BCL11B/BATF/ITPKB/TBX21/STAT5A/JAK1/CYLD/IL6R/TOX/FOXP3/PTPN2/IL12B/LOXL3/FOXN1/STAT6/NFATC3/IL6ST"
"KEGG_PRIMARY_IMMUNODEFICIENCY","KEGG_PRIMARY_IMMUNODEFICIENCY",35,0.880916704026712,2.10439456962784,1e-10,2.67051282051282e-09,1.90148448043185e-09,1106,"tags=74%, list=6%, signal=70%","IL2RG/ICOS/CIITA/LCK/CD3D/JAK3/RFX5/TNFRSF13B/CD79A/PTPRC/CD3E/ZAP70/CD4/BTK/TNFRSF13C/ADA/CD8B/CD40LG/TAP2/CD19/CD40/IL7R/TAP1/CD8A/DCLRE1C/BLNK"
"GOBP_T_CELL_SELECTION","GOBP_T_CELL_SELECTION",62,0.827239282412846,2.090244746961,1e-10,2.67051282051282e-09,1.90148448043185e-09,1798,"tags=61%, list=9%, signal=56%","IRF4/CD3D/JAK3/SPN/PTPRC/CD3E/CD3G/CARD11/CD74/DOCK2/ZAP70/THEMIS/CD69/CD4/LY9/IL12RB1/SLAMF6/BCL11B/CD28/BATF/ITPKB/CCR7/TBX21/STAT5A/JAK1/CYLD/CD1D/IL6R/TOX/FOXP3/PTPN2/IL12B/LOXL3/AIRE/FOXN1/STAT6/NFATC3/IL6ST"
"GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY","GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",60,0.829149007630704,2.08960031180985,1e-10,2.67051282051282e-09,1.90148448043185e-09,2071,"tags=68%, list=11%, signal=61%","PTPN22/NCKAP1L/FCMR/LCK/CD72/CD79A/PTPRC/CTLA4/CD300A/PTPN6/FCGR2B/PRKCB/PLCL2/BTK/PIK3CD/BLK/BANK1/LPXN/LYN/MEF2C/CD79B/KLHL6/FCRL3/LAT2/ITK/MS4A1/CD19/CD38/PLCG2/NFKB1/MNDA/STAP1/PRKCH/GRB2/GCSAM/BLNK/NFAM1/CD22/SH2B2/SOS1/RFTN1"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE",437,0.770738801700696,2.08130664868994,1e-10,2.67051282051282e-09,1.90148448043185e-09,2717,"tags=59%, list=14%, signal=52%","CCL19/TNFAIP3/IRF4/SKAP1/HLA-DRA/MPEG1/TRAT1/NCKAP1L/SLAMF1/FCMR/JCHAIN/HLA-DOA/CD226/CD3D/CSF2RB/JAK3/CD6/SIGLEC10/SPN/TNFRSF13B/CD79A/PTPRC/LILRB1/HLA-DMA/CD3E/CTLA4/CD3G/WAS/SIPA1/SIT1/SH2D1A/SASH3/CD74/INPP5D/BTN3A1/ADCY7/PTPN6/ZAP70/FCGR2B/IL27RA/CD86/THEMIS/PRKCB/CD69/STAT4/FCRL4/CD4/IL2RB/LY9/UNC13D/HLA-DPA1/TNFRSF1B/IL12RB1/IGLL5/HLA-F/CD84/SLAMF6/CD1E/NFKB2/CAMK4/CD7/BTK/PIK3CD/PIK3CG/LAX1/NOD2/CD247/CRACR2A/MICB/CLEC10A/HLA-DPB1/HLA-DMB/CD28/SLAMF7/EOMES/CXCL13/FCER2/EBI3/FUT7/HLA-DOB/SLA2/CRTAM/LAIR1/TNFRSF13C/CD27/CD1C/DUSP22/BATF/IL4I1/CLEC7A/PTK2B/CTSS/JAK2/LYN/MYD88/ADA/CD244/BTLA/MEF2C/CSK/PDCD1/BTN3A2/CCR2/CD79B/KLHL6/CD8B/GZMM/TNF/LAT2/CD40LG/ITK/TBX21/P2RX7/TAP2/STAT5A/IL18/CD19/IL10/LEF1/JAK1/TNFRSF17/TNFSF4/PRF1/RELB/DBNL/PDCD1LG2/CD1D/HAVCR2/HLA-E/SECTM1/IL6R/IRF1/MALT1/PYCARD/CD40/LILRA1/CR1/FOXP3/ERAP2/IL4R/LGALS9/IFNG/IL7R/FCAMR/PRKD2/CD1B/TAP1/CD8A/BTN3A3/TLR4/EXO1/PAG1/MCOLN2/IL18BP/CARD9/CD80/CCR6/ARID5A/IL18RAP/C1S/LAG3/CR2/DCLRE1C/LTA/B2M/IL12B/TLR8/IL18R1/MYO1G/LAMP3/C7/C1RL/ERAP1/BCL6/LILRB4/IL12A/TCIRG1/LOXL3/IL9R/IL33/HLA-B/CD8B2/CD274/C3/HLA-DQB2/XCL1/AIRE/C1QC/RIPK2/ALOX15/RC3H2/CR1L/TNFSF13B/LILRB2/TYK2/IL1B/CLEC4C/TXK/STAT6/DENND1B/NOTCH1/C2/BACH2/TGFB1/IL6ST/TNFRSF14/C1QA/ADGRE1/FCER1G/IL17RA/CX3CR1/SLC15A4/SWAP70/CLEC4G/C1QB/CD70/RNF19B/SH2D1B/RFTN1/ATAD5/HMCES/CD1A/AKIRIN2/KLRD1/NLRP3/GATA3/ENTPD7/TREM2/ASCL2/FBXO38/KLRC2/IL23A/CD209/IRF7/ZC3H12A/UNC93B1/FCGR3A/HLA-C/C17orf99/FCGR1A/C1R/AICDA/NFKBID/STX7/LIG4/TFRC/DUSP10/LAT/RIF1/HLA-A/ADAM17/PPP3CB/CLEC4A/LILRA6/RNF125/ZBTB1/C5"
"GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION",72,0.803713369362257,2.05608563464101,1e-10,2.67051282051282e-09,1.90148448043185e-09,1959,"tags=61%, list=10%, signal=55%","PTPN22/TLR7/SLAMF1/CD226/CD2/LILRB1/CD3E/SASH3/BTN3A1/IL27RA/HLA-DPA1/IL12RB1/SLAMF6/IRF8/HLA-DPB1/EBI3/CRTAM/CLEC7A/JAK2/SLC7A5/CD244/BTN3A2/CCR2/TNF/IL18/TNFSF4/HAVCR2/PYCARD/LGALS9/TLR4/ARID5A/LTA/IL12B/TLR8/IL18R1/PDE4B/IL12A/RIPK2/TYK2/IL1B/TXK/CD14/IL12RB2/IL21"
"GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY","GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",70,0.801831031059159,2.04740300354258,1e-10,2.67051282051282e-09,1.90148448043185e-09,1779,"tags=57%, list=9%, signal=52%","TRAT1/PTPN22/FCMR/LCK/LAPTM5/BTN2A2/CD72/CD226/PTPRC/CARD11/SH2D1A/CD300A/PTPN6/FCGR2B/ITPRIPL1/TESPA1/PLCL2/SLA2/LPXN/DUSP22/LYN/ADA/CSK/UBASH3A/FCRL3/CCR7/CD19/CYLD/MALT1/DGKZ/STAP1/PTPN2/PRKCH/PRKD2/GCSAM/NFAM1/LILRB4/CD22/ELF1/CBLB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",196,0.76563696043666,2.04318981450028,1e-10,2.67051282051282e-09,1.90148448043185e-09,3170,"tags=65%, list=17%, signal=55%","IL10RA/TNFAIP3/IRF4/CIITA/MARCHF1/CSF2RB/HLA-DMA/CD74/CASP3/LCP2/PTPN6/ZBP1/CD86/CASP4/ITGB7/CD69/STAT4/IL2RB/VCAM1/TRIM14/CASP1/IRF8/BANK1/SLAMF7/NLRC5/PTPN1/SP110/BTG1/IL7/JAK2/MYD88/GZMA/IRF2/CASP8/CD38/GCH1/TNFAIP2/SECTM1/NCOA3/IRF1/CD40/NFKB1/ISG20/PSMB10/ST8SIA4/IRF5/IL4R/PTPN2/RAPGEF6/SAMHD1/MTHFD2/TAP1/IFNAR2/IL18BP/SAMD9L/PARP14/LYSMD2/PSMB8/GPR18/C1S/TRAFD1/B2M/EPSTI1/IFI30/PSMB9/PDE4B/RNF213/MX2/CCL5/IL15RA/PARP12/APOL6/OAS2/CMTR1/LAP3/HLA-B/NMI/CD274/XCL1/SOCS1/RIPK2/SELP/IFIH1/STAT1/TAPBP/GBP4/IDO1/BST2/CXCL9/FPR1/FAS/ADAR/CFB/TRIM21/CASP7/CXCL10/RTP4/STAT2/IRF9/OASL/UBE2L6/PLSCR1/IRF7/CXCL11/HIF1A/FGL2/FCGR1A/C1R/PSME2/PSMA3/HLA-A/TRIM25/ARID5B/DDX60/P2RY14/TRIM26/WARS1/PSME1/HELZ2/XAF1/DHX58/IL15/SOD2/HLA-DRB1/IFIT2/ICAM1/BATF2/CMPK2"
"KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION",66,0.804084150810165,2.04262652575262,1e-10,2.67051282051282e-09,1.90148448043185e-09,1801,"tags=53%, list=10%, signal=48%","HLA-DRA/HLA-DOA/HLA-DMA/NCF1/ITGA4/NCF4/ITGAM/PTPN6/PRKCB/HLA-DPA1/ITGB2/HLA-DPB1/HLA-DMB/HLA-DOB/JAK2/MYD88/TNF/IL10/JAK1/NFKB1/CR1/IFNG/IRAK4/TLR4/IRAK1/IL12B/NCF2/TLR2/IL12A/C3/STAT1/IFNGR1/IL1B/TGFB1/CYBA"
