"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE","227/1640","437/14252",0.519450800915332,4.51415415527153,26.905353077475,5.90155997617189e-100,2.76252022484606e-96,2.20345613005071e-96,"PTPN6/CSK/BACH2/INPP5D/LAT2/SKAP1/SIPA1/PAG1/PIK3CD/PTK2B/PRKCB/GZMM/UNC13D/MCOLN2/TXK/TNFRSF17/HLA-DMB/SH2D1A/CD27/STAT4/CAMK4/WAS/JAK3/MICB/ADA/LILRB1/ZAP70/HLA-DMA/SLAMF1/CD3G/CD226/BATF/CD3D/CD247/SASH3/ADCY7/KLHL6/SLAMF6/LY9/NCKAP1L/CD3E/PTPRC/BTK/IL12RB1/SIGLEC10/EXO1/SIT1/MALT1/BTN3A1/IL4R/CD84/CD6/SPN/PIK3CG/CD79B/LYN/TBX21/LAIR1/PDCD1/IL27RA/FCMR/NFKB2/ITK/HLA-DOA/BTLA/CRACR2A/MEF2C/MPEG1/IL18/CSF2RB/HLA-DPB1/LTA/THEMIS/FUT7/EBI3/CD80/MYD88/IL7R/CD7/PDCD1LG2/CD1D/JAK2/P2RX7/TNFSF13B/PYCARD/C2/TAP2/CD40/CD4/EOMES/FCGR2B/TNFRSF1B/SLA2/LEF1/HLA-DRA/IL2RB/AIRE/HLA-F/CR1/LGALS9/TAP1/CD86/IL18BP/CD8B/PRF1/LILRB2/LAX1/HLA-DPA1/RELB/IL10/NOD2/BTN3A3/IL6R/FOXP3/IL4I1/CD8B2/CD8A/HLA-DOB/TNFAIP3/LAMP3/SECTM1/CD74/BTN3A2/CD28/CTSS/CLEC7A/CD40LG/CD19/CARD9/TNFSF4/CD244/AICDA/CLEC4C/IRF1/IL12A/IRF4/CCR6/LILRB4/CD1E/TNFRSF13C/CR2/CLEC10A/IL18R1/CCL19/ARID5A/TRAT1/CD69/FCGR3A/TLR4/CR1L/C1QC/CRTAM/IL18RAP/HAVCR2/TNF/C1QB/CTLA4/TLR8/CD274/KLRD1/IL9R/C1QA/LOXL3/SLAMF7/FCGR1A/XCL1/CD79A/IGLL5/TNFRSF13B/HLA-E/MYO1G/LILRA1/C17orf99/CD1C/JCHAIN/CCR2/CXCL13/ERAP2/FCER1G/LAT/IL33/FCER2/FCRL4/C1S/C3/LAG3/IFNG/ADGRE1/KLRC2/TGFB1/B2M/ALOX15/IL12B/ASCL2/CTSH/TREM2/C7/C1R/HLA-DQA1/HLA-B/FCAMR/CD209/LILRA6/ZC3H12A/CD70/IL1B/NLRP3/HLA-DQB2/BCL3/SH2D1B/RNF125/CD1B/ICAM1/CLEC4G/ICOSLG/CD1A/CLEC4A/GPR183/CX3CR1/HLA-C/HLA-DRB1/ARG1/PRDM1/IL2/HLA-DQB1/IGLL1/CLEC4M",227,"upregulated"
"GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION","209/1640","490/14252",0.426530612244898,3.70665505226481,21.9858260340185,9.30650715063449e-72,2.178187998606e-68,1.73737794017371e-68,"PTPN6/FANCD2/CSK/TMEM131L/BANK1/CD37/INPP5D/CCDC88B/FANCA/DOCK8/RIPOR2/PAG1/PIK3CD/TOX/CORO1A/BTN2A2/TCF7/ITPKB/CASP3/TESPA1/RASSF5/LCK/CD38/HLA-DMB/CD27/RASAL3/CAMK4/JAK3/VAV1/LAPTM5/DTX1/TSPAN32/ADA/TNFRSF4/LILRB1/ZAP70/HLA-DMA/RASGRP1/SLAMF1/CARD11/FCHO1/VCAM1/CLNK/TBC1D10C/TNFAIP8L2/CD83/LST1/BATF/SASH3/IKZF3/RHOH/NCKAP1L/CD3E/PTPRC/ADAM8/BTK/IL12RB1/RAC2/SIT1/MALT1/IL4R/CD6/SPN/ATM/RUNX3/LYN/TBX21/SPI1/IL2RA/CD22/CD2/CCR7/PDCD1/IL27RA/HLA-DOA/CD5/GPR65/BTLA/CGAS/MEF2C/IL18/HLA-DPB1/PTPN22/SIRPB1/FCRL3/EBI3/CD80/MYD88/TNFSF8/IL7R/AIF1/PIK3R6/TNFSF14/PDCD1LG2/CD1D/JAK2/TNFSF13B/PYCARD/CD300A/SIRPG/CD40/CD4/FCGR2B/TNFRSF1B/LEF1/HLA-DRA/TIGIT/IL2RG/CR1/LGALS9/CD86/TNFRSF9/LILRB2/LAX1/HLA-DPA1/ICOS/IL10/NOD2/FGR/FOXP3/IL4I1/HLA-DOB/TNFAIP3/CD74/CD28/CLEC7A/CD40LG/CD19/CCL5/TNFSF4/IL7/IRF1/SLAMF8/IL12A/IRF4/IL15RA/LILRB4/TNFRSF13C/CCL19/TMIGD2/ILDR2/CD69/FCGR3A/TLR4/NFAM1/CRTAM/IDO1/MNDA/HAVCR2/CTLA4/CD274/KLRD1/LGALS9B/ADORA2A/TYROBP/MAD1L1/LOXL3/XCL1/TNFRSF13B/HLA-E/PLA2G2D/VNN1/CCR2/FOXN1/LAT/MZB1/CLEC12A/THEMIS2/TNFSF11/SOCS1/IL21/LGALS9C/IGF1/LAG3/IFNG/KLRC2/TGFB1/B2M/IL12B/CDKN2A/VSIG4/ASCL2/NFATC2/WNT10B/PGLYRP2/SLC46A2/BTNL2/HLA-DQA1/CD209/ZC3H12A/CD70/IL1B/NLRP3/HLA-DQB2/PELI1/NR5A2/CLEC4G/ICOSLG/GPNMB/TACR1/GPR183/HLA-DRB1/HHLA2/ARG1/PLA2G5/PRDM1/IL2/TNFSF9/HLA-DQB1",209,"upregulated"
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","175/1640","381/14252",0.459317585301837,3.99158184495231,21.3433262980268,7.33683132491649e-66,1.14479024773114e-62,9.13113709104519e-63,"PTPN6/PLCG2/SCIMP/INPP5D/LAT2/PIK3CD/CORO1A/GZMM/UNC13D/SH2D1A/CD27/CAMK4/WAS/JAK3/VAV1/LILRB1/RASGRP1/SLAMF1/NCR3/CLNK/CD226/BATF/SASH3/SLAMF6/NCKAP1L/PTPRC/BTK/IL12RB1/RAC2/EXO1/CD96/MALT1/IL4R/PTGDR/CD84/SPN/NCF1/PIK3CG/LYN/TBX21/SPI1/CD2/PDCD1/DBH/IL27RA/FCMR/KLRB1/IL18/CSF2RB/LTA/ARRB2/MILR1/NKG7/FUT7/CD80/SERPINB9/MYD88/IL7R/CD7/PIK3R6/CD1D/P2RX7/CD300A/C2/TAP2/CD40/FCGR2B/TNFRSF1B/SLA2/CALHM6/HLA-DRA/IL2RB/TIGIT/ITGAM/AIRE/ITGB2/HLA-F/CR1/LGALS9/PRF1/CBL/PTGDS/IL10/NOD2/BTN3A3/FGR/IL6R/FOXP3/IL4I1/CD8A/SECTM1/CD74/BTN3A2/CD28/CLEC7A/CD40LG/CD19/CARD9/HCST/TNFSF4/NCR1/AICDA/STAP1/IL12A/CCR6/NLRP6/LILRB4/CD1E/CR2/IL18R1/ARID5A/FCGR3A/TLR4/CR1L/C1QC/CRTAM/IL18RAP/ADGRE2/HAVCR2/TNF/GZMB/C1QB/TLR8/CD274/KLRD1/TYROBP/IL9R/C1QA/SLAMF7/FCGR1A/XCL1/IGLL5/BST2/HLA-E/MYO1G/C17orf99/CD1C/CCR2/FCER1G/LAT/FCER2/KLRC4/C1S/C3/IL21/LAG3/KLRC2/TGFB1/B2M/IL12B/CCL3/CTSH/TREM2/C7/C1R/HLA-B/RASGRP4/CLEC12B/CD70/IL1B/NLRP3/BCL3/SH2D1B/CD1B/ICAM1/CLEC4G/CD1A/CX3CR1/HLA-C/HLA-DRB1/KIR2DL4/ARG1/IL2/FCAR/IGLL1",175,"upregulated"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","119/1640","190/14252",0.626315789473684,5.44283697047497,22.2313708741096,2.43265615884347e-64,2.84681586988658e-61,2.27069247247837e-61,"PTPN6/CSK/MAP4K1/HCLS1/PRKCB/IL16/LCK/HLA-DMB/STAT4/WAS/ITGAL/ZAP70/LY86/HLA-DMA/FYB1/NCF4/CD3G/CD3D/CD247/TLR1/CD3E/PTPRC/IL12RB1/SIT1/CD96/IRF8/IL4R/ETS1/LYN/SPI1/IL2RA/TLR6/LCP2/CD2/IL27RA/ITK/HLA-DOA/GPR65/IL18/HDAC9/LTB/CD80/PSMB10/SRGN/CD7/GZMA/CD1D/JAK2/C2/TAP2/IFNAR2/CD40/CD4/FCGR2B/HLA-DRA/IL2RB/IL2RG/ACHE/ITGB2/ELF4/TAP1/CXCR3/CD86/CCR5/CD8B/PRF1/IL10/ST8SIA4/FGR/IGSF6/CD8A/HLA-DOB/CD74/CD28/CTSS/CD40LG/CCL5/NCR1/IL7/IL12A/IRF4/TLR2/CCL19/FASLG/TRAT1/CRTAM/IL18RAP/TNF/GZMB/KLRD1/GBP2/CD79A/CCR1/HLA-E/CCR2/CXCL13/CFP/FAS/STAT1/WARS1/SOCS1/BCAT1/IFNG/TGFB1/B2M/CXCL9/MMP9/IL12B/CDKN2A/HLA-DQA1/STAB1/IL1B/NLRP3/BCL3/CCL4/ICAM1/ICOSLG/CCL22/IL2",119,"upregulated"
"GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","177/1640","397/14252",0.445843828715365,3.87449161393377,20.9462193567581,3.82054717876407e-64,3.57679626875892e-61,2.85294333538445e-61,"PTPN6/CSK/TMEM131L/CD37/SKAP1/CCDC88B/STK10/DOCK8/RIPOR2/PAG1/PIK3CD/FERMT3/CORO1A/BTN2A2/ITPKB/CASP3/TESPA1/ITGB7/LCK/HLA-DMB/CD27/RASAL3/JAK3/VAV1/LAPTM5/DTX1/TSPAN32/ADA/ITGAL/SEMA4D/LILRB1/ZAP70/HLA-DMA/RASGRP1/SLAMF1/CARD11/FCHO1/VCAM1/TNFAIP8L2/CD83/SASH3/RHOH/NCKAP1L/CD3E/PTPRC/ADAM8/IL12RB1/RAC2/MALT1/IL4R/ETS1/CD6/SPN/ITGA4/RUNX3/LYN/TBX21/IL2RA/SELL/CCR7/PDCD1/HLA-DOA/CD5/GPR65/BTLA/IL18/ADD2/HLA-DPB1/PTPN22/SIRPB1/FUT7/EBI3/CD80/IL7R/AIF1/PIK3R6/TNFSF14/PDCD1LG2/CD1D/JAK2/TNFSF13B/PYCARD/CD300A/SIRPG/CD4/LEF1/HLA-DRA/TIGIT/IL2RG/ITGB2/CR1/LGALS9/CD86/LILRB2/LAX1/HLA-DPA1/ICOS/SELPLG/IL10/NOD2/FOXP3/IL4I1/HLA-DOB/CD74/CD28/CD40LG/CCL5/TNFSF4/IL7/IRF1/IL12A/LILRB4/TNFRSF13C/CCL19/TMIGD2/ILDR2/CD69/CHST4/CRTAM/IDO1/HAVCR2/TNF/CTLA4/CD274/LGALS9B/ADORA2A/MAD1L1/LOXL3/XCL1/HLA-E/SELP/PLA2G2D/VNN1/CCR2/ALOX5/TNFSF11/SOCS1/IL21/LGALS9C/IGF1/LAG3/IFNG/TGFB1/B2M/IL12B/CDKN2A/VSIG4/ASCL2/WNT10B/ADTRP/OLR1/HAS2/BTNL2/HLA-DQA1/CD209/ZC3H12A/CD70/IL1B/NLRP3/HLA-DQB2/PELI1/NR5A2/ICAM1/CLEC4G/ICOSLG/GPNMB/CX3CR1/HLA-DRB1/HHLA2/ARG1/PLA2G5/IL2/S100A9/CCL25/TNFSF9/HLA-DQB1/CLEC4M",177,"upregulated"
"GOBP_REGULATION_OF_T_CELL_ACTIVATION","GOBP_REGULATION_OF_T_CELL_ACTIVATION","169/1640","370/14252",0.456756756756757,3.96932762030323,20.8682280016037,4.0142405096326e-63,3.13177663759837e-60,2.49798440134506e-60,"PTPN6/FANCD2/CSK/TMEM131L/CD37/CCDC88B/FANCA/DOCK8/RIPOR2/PAG1/PIK3CD/TOX/CORO1A/BTN2A2/TCF7/ITPKB/CASP3/TESPA1/LCK/HLA-DMB/CD27/RASAL3/CAMK4/JAK3/VAV1/LAPTM5/DTX1/TSPAN32/ADA/LILRB1/ZAP70/HLA-DMA/RASGRP1/SLAMF1/CARD11/FCHO1/VCAM1/TNFAIP8L2/CD83/BATF/SASH3/RHOH/NCKAP1L/CD3E/PTPRC/ADAM8/IL12RB1/RAC2/SIT1/MALT1/IL4R/CD6/SPN/RUNX3/LYN/TBX21/IL2RA/CD2/CCR7/PDCD1/HLA-DOA/CD5/GPR65/BTLA/CGAS/IL18/HLA-DPB1/PTPN22/SIRPB1/EBI3/CD80/TNFSF8/IL7R/AIF1/PIK3R6/TNFSF14/PDCD1LG2/CD1D/JAK2/TNFSF13B/PYCARD/CD300A/SIRPG/CD4/TNFRSF1B/LEF1/HLA-DRA/TIGIT/IL2RG/CR1/LGALS9/CD86/TNFRSF9/LILRB2/LAX1/HLA-DPA1/ICOS/IL10/NOD2/FOXP3/IL4I1/HLA-DOB/CD74/CD28/CD40LG/CCL5/TNFSF4/IL7/IRF1/IL12A/IRF4/LILRB4/TNFRSF13C/CCL19/TMIGD2/ILDR2/CD69/CRTAM/IDO1/HAVCR2/CTLA4/CD274/LGALS9B/ADORA2A/MAD1L1/LOXL3/XCL1/HLA-E/PLA2G2D/VNN1/CCR2/FOXN1/LAT/TNFSF11/SOCS1/IL21/LGALS9C/IGF1/LAG3/IFNG/TGFB1/B2M/IL12B/CDKN2A/VSIG4/ASCL2/WNT10B/SLC46A2/BTNL2/HLA-DQA1/CD209/ZC3H12A/CD70/IL1B/NLRP3/HLA-DQB2/PELI1/NR5A2/CLEC4G/ICOSLG/GPNMB/HLA-DRB1/HHLA2/ARG1/PLA2G5/PRDM1/IL2/TNFSF9/HLA-DQB1",169,"upregulated"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","142/1640","288/14252",0.493055555555556,4.28477303523035,20.3071652888852,3.09390463687903e-58,2.06553117431456e-55,1.64752000253966e-55,"PTPN6/INPP5D/CORO1A/GZMM/UNC13D/SH2D1A/CD27/WAS/VAV1/LILRB1/RASGRP1/SLAMF1/NCR3/CLNK/CD226/BATF/SASH3/SLAMF6/NCKAP1L/PTPRC/BTK/IL12RB1/EXO1/CD96/MALT1/IL4R/SPN/TBX21/CD2/PDCD1/IL27RA/FCMR/KLRB1/IL18/CSF2RB/LTA/ARRB2/NKG7/FUT7/CD80/SERPINB9/MYD88/IL7R/CD7/PIK3R6/CD1D/P2RX7/C2/TAP2/CD40/FCGR2B/TNFRSF1B/SLA2/CALHM6/HLA-DRA/IL2RB/TIGIT/AIRE/HLA-F/CR1/LGALS9/PRF1/IL10/BTN3A3/FOXP3/IL4I1/CD8A/SECTM1/CD74/BTN3A2/CD28/CD40LG/CD19/CARD9/HCST/TNFSF4/NCR1/AICDA/IL12A/CCR6/LILRB4/CD1E/CR2/IL18R1/ARID5A/FCGR3A/CR1L/C1QC/CRTAM/IL18RAP/HAVCR2/TNF/GZMB/C1QB/TLR8/CD274/KLRD1/TYROBP/IL9R/C1QA/SLAMF7/FCGR1A/XCL1/IGLL5/HLA-E/MYO1G/C17orf99/CD1C/CCR2/FCER1G/FCER2/KLRC4/C1S/C3/IL21/LAG3/KLRC2/TGFB1/B2M/IL12B/CTSH/TREM2/C7/C1R/HLA-B/RASGRP4/CLEC12B/CD70/IL1B/NLRP3/BCL3/SH2D1B/CD1B/ICAM1/CLEC4G/CD1A/HLA-C/HLA-DRB1/KIR2DL4/ARG1/IL2/IGLL1",142,"upregulated"
"GOBP_LEUKOCYTE_PROLIFERATION","GOBP_LEUKOCYTE_PROLIFERATION","153/1640","330/14252",0.463636363636364,4.02911308203991,20.0758644565641,3.53006823211205e-58,2.06553117431456e-55,1.64752000253966e-55,"PTPN6/TMEM131L/CD37/INPP5D/CCDC88B/DOCK8/RIPOR2/CORO1A/BTN2A2/CASP3/RASSF5/CD38/HLA-DMB/RASAL3/LAPTM5/TSPAN32/GAPT/ADA/TNFRSF4/LILRB1/ZAP70/RASGRP1/SLAMF1/CARD11/VCAM1/LST1/SASH3/PLCL2/DOCK2/IKZF3/NCKAP1L/CD3E/PTPRC/BTK/IL12RB1/RAC2/MALT1/BTN3A1/CD180/CD6/SPN/ATM/PIK3CG/LYN/IL2RA/HELLS/CD22/BTLA/MEF2C/IL18/CSF2RB/HLA-DPB1/PTPN22/FCRL3/EBI3/CD80/MYD88/TNFSF8/IL7R/PSMB10/AIF1/TNFSF14/PDCD1LG2/CD1D/JAK2/P2RX7/TNFSF13B/PYCARD/CD300A/CD40/CD4/FCGR2B/TNFRSF1B/LEF1/MS4A1/CSF2RA/CR1/LGALS9/ELF4/CD86/TNFRSF9/LILRB2/HLA-DPA1/IL10/FLT3/SH2D2A/FOXP3/IL4I1/TNFAIP3/CD74/CD28/CD40LG/CD19/CCL5/TNFSF4/IL7/IRF1/IL12A/LILRB4/TNFRSF13C/CR2/CCL19/TMIGD2/FCGR3A/TLR4/CSF1R/CRTAM/IDO1/MNDA/HAVCR2/CTLA4/CD274/LGALS9B/TYROBP/MAD1L1/XCL1/CD79A/BST2/TNFRSF13B/HLA-E/PLA2G2D/CCR2/MZB1/IL33/TNFSF11/IL21/LGALS9C/IGF1/TGFB1/IL12B/CDKN2A/VSIG4/NFATC2/TREM2/BTNL2/CD209/CD70/IL1B/PELI1/NR5A2/GREM1/CLEC4G/ICOSLG/GPNMB/TACR1/GPR183/HLA-DRB1/IL5RA/HHLA2/ARG1/PLA2G5/IL2/TNFSF9",153,"upregulated"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","141/1640","303/14252",0.465346534653465,4.04397488529341,19.3127204895338,7.5644971958561e-54,3.9343790415336e-51,3.13816041563761e-51,"PTPN6/BACH2/INPP5D/GZMM/UNC13D/CD27/STAT4/WAS/JAK3/ADA/LILRB1/SLAMF1/CD226/BATF/SASH3/KLHL6/SLAMF6/LY9/NCKAP1L/PTPRC/BTK/IL12RB1/EXO1/MALT1/IL4R/SPN/TBX21/PDCD1/IL27RA/FCMR/NFKB2/CRACR2A/MEF2C/IL18/CSF2RB/LTA/FUT7/EBI3/CD80/MYD88/IL7R/CD7/CD1D/JAK2/P2RX7/TNFSF13B/C2/TAP2/CD40/CD4/FCGR2B/TNFRSF1B/SLA2/LEF1/HLA-DRA/IL2RB/AIRE/HLA-F/CR1/LGALS9/IL18BP/PRF1/RELB/IL10/BTN3A3/IL6R/FOXP3/IL4I1/CD8A/TNFAIP3/SECTM1/CD74/BTN3A2/CD28/CLEC7A/CD40LG/CD19/CARD9/TNFSF4/AICDA/IL12A/IRF4/CCR6/LILRB4/CD1E/CR2/IL18R1/CCL19/ARID5A/CD69/FCGR3A/TLR4/CR1L/C1QC/CRTAM/HAVCR2/TNF/C1QB/TLR8/CD274/KLRD1/IL9R/C1QA/LOXL3/FCGR1A/XCL1/IGLL5/HLA-E/MYO1G/C17orf99/CD1C/CCR2/CXCL13/FCER1G/IL33/FCER2/C1S/C3/TGFB1/B2M/IL12B/ASCL2/CTSH/TREM2/C7/C1R/HLA-B/ZC3H12A/CD70/IL1B/NLRP3/BCL3/CD1B/ICAM1/CLEC4G/CD1A/HLA-C/HLA-DRB1/ARG1/IL2/IGLL1",141,"upregulated"
"GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS","GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS","161/1640","387/14252",0.416020671834625,3.61532110669944,18.8093235616292,3.27311063290997e-53,1.53214308726516e-50,1.22207614894017e-50,"PTPN6/PLCG2/CD37/SCIMP/INPP5D/UNC13D/HLA-DMB/SH2D1A/CAMK4/WAS/JAK3/VAV1/LAPTM5/TNFRSF4/LILRB1/RASGRP1/SLAMF1/NCR3/CLNK/CD226/BATF/SASH3/SLAMF6/NCKAP1L/PTPRC/BTK/IL12RB1/RAC2/CD96/MALT1/IL4R/CD84/SPN/NCF1/SEMA7A/LYN/TBX21/SPI1/CD22/PDCD1/IL27RA/KLRB1/GPR65/CGAS/UBE2J1/IL18/LTA/ARRB2/FCRL3/FUT7/CD80/SERPINB9/MYD88/IL7R/CD7/PIK3R6/CD1D/P2RX7/PYCARD/CD300A/TAP2/CD40/FCGR2B/TNFRSF1B/CALHM6/HLA-DRA/TIGIT/ITGAM/IL2RG/TLR7/ITGB2/HLA-F/CR1/LGALS9/CD86/IL10/NOD2/FGR/FOXP3/IL4I1/IRF5/SECTM1/ACP5/CD74/CD28/CLEC7A/CD40LG/CARD9/TNFSF4/NCR1/CD244/STAP1/SLC7A5/SLAMF8/IL12A/IRF4/LILRB4/CD1E/CR2/IL18R1/CCL19/ARID5A/CD69/TLR4/CR1L/CRTAM/IL18RAP/ADGRE2/HAVCR2/TNF/CD274/KLRD1/TYROBP/LOXL3/FCGR1A/XCL1/BST2/HLA-E/C17orf99/CD1C/CCR2/FCER1G/MZB1/IL33/CFP/FCER2/KLRC4/C3/IL21/LAG3/IFNG/FCN1/KLRC2/TGFB1/B2M/IL12B/VSIG4/ASCL2/PGLYRP2/TREM2/HLA-B/ZC3H12A/RASGRP4/CLEC12B/IL1B/NLRP3/SH2D1B/CD1B/ICAM1/CLEC4G/LBP/CD1A/CX3CR1/HLA-C/HLA-DRB1/KIR2DL4/ARG1/PLA2G5/IL2/S100A9/APOA2",161,"upregulated"
